,movieId,title,genres,title_short,year
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995
1,2,Jumanji,Adventure|Children|Fantasy,Jumanji,1995
2,3,Grumpier Old Men,Comedy|Romance,Grumpier Old Men,1995
3,4,Waiting to Exhale,Comedy|Drama|Romance,Waiting to Exhale,1995
4,5,Father of the Bride Part II,Comedy,Father of the Bride Part II,1995
5,6,Heat,Action|Crime|Thriller,Heat,1995
7,8,Tom and Huck,Adventure|Children,Tom and Huck,1995
8,9,Sudden Death,Action,Sudden Death,1995
9,10,GoldenEye,Action|Adventure|Thriller,GoldenEye,1995
10,11,The American President,Comedy|Drama|Romance,The American President,1995
11,12,Dracula: Dead and Loving It,Comedy|Horror,Dracula: Dead and Loving It,1995
12,13,Balto,Adventure|Animation|Children,Balto,1995
13,14,Nixon,Drama,Nixon,1995
14,15,Cutthroat Island,Action|Adventure|Romance,Cutthroat Island,1995
15,16,Casino,Crime|Drama,Casino,1995
16,17,Sense and Sensibility,Drama|Romance,Sense and Sensibility,1995
18,19,Ace Ventura: When Nature Calls,Comedy,Ace Ventura: When Nature Calls,1995
19,20,Money Train,Action|Comedy|Crime|Drama|Thriller,Money Train,1995
20,21,Get Shorty,Comedy|Crime|Thriller,Get Shorty,1995
21,22,Copycat,Crime|Drama|Horror|Mystery|Thriller,Copycat,1995
22,23,Assassins,Action|Crime|Thriller,Assassins,1995
23,24,Powder,Drama|Sci-Fi,Powder,1995
24,25,Leaving Las Vegas,Drama|Romance,Leaving Las Vegas,1995
25,26,Othello,Drama,Othello,1995
26,27,Now and Then,Children|Drama,Now and Then,1995
27,28,Persuasion,Drama|Romance,Persuasion,1995
28,29,The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi,The City of Lost Children,1995
29,30,Shanghai Triad,Crime|Drama,Shanghai Triad,1995
30,31,Dangerous Minds,Drama,Dangerous Minds,1995
32,34,Babe,Children|Drama,Babe,1995
33,36,Dead Man Walking,Crime|Drama,Dead Man Walking,1995
34,38,It Takes Two,Children|Comedy,It Takes Two,1995
35,39,Clueless,Comedy|Romance,Clueless,1995
36,40,"Cry, the Beloved Country",Drama,"Cry, the Beloved Country",1995
37,41,Richard III,Drama|War,Richard III,1995
38,42,Dead Presidents,Action|Crime|Drama,Dead Presidents,1995
39,43,Restoration,Drama,Restoration,1995
40,44,Mortal Kombat,Action|Adventure|Fantasy,Mortal Kombat,1995
41,45,To Die For,Comedy|Drama|Thriller,To Die For,1995
42,46,How to Make an American Quilt,Drama|Romance,How to Make an American Quilt,1995
43,47,Seven,Mystery|Thriller,Seven,1995
44,48,Pocahontas,Animation|Children|Drama|Musical|Romance,Pocahontas,1995
45,49,When Night Is Falling,Drama|Romance,When Night Is Falling,1995
46,50,The Usual Suspects,Crime|Mystery|Thriller,The Usual Suspects,1995
47,52,Mighty Aphrodite,Comedy|Drama|Romance,Mighty Aphrodite,1995
49,54,The Big Green,Children|Comedy,The Big Green,1995
51,57,Home for the Holidays,Drama,Home for the Holidays,1995
52,58,The Postman,Comedy|Drama|Romance,The Postman,1994
53,60,The Indian in the Cupboard,Adventure|Children|Fantasy,The Indian in the Cupboard,1995
54,61,Eye for an Eye,Drama|Thriller,Eye for an Eye,1996
55,62,Mr. Holland's Opus,Drama,Mr. Holland's Opus,1995
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
58,65,Bio-Dome,Comedy,Bio-Dome,1996
59,66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996
60,68,French Twist,Comedy|Romance,French Twist,1995
61,69,Friday,Comedy,Friday,1995
63,71,Fair Game,Action,Fair Game,1995
64,72,Kicking and Screaming,Comedy|Drama,Kicking and Screaming,1995
65,73,Les Misérables,Drama|War,Les Misérables,1995
66,74,Bed of Roses,Drama|Romance,Bed of Roses,1996
67,75,Big Bully,Comedy|Drama,Big Bully,1996
68,76,Screamers,Action|Sci-Fi|Thriller,Screamers,1995
70,78,The Crossing Guard,Action|Crime|Drama|Thriller,The Crossing Guard,1995
71,79,The Juror,Drama|Thriller,The Juror,1996
72,80,The White Balloon,Children|Drama,The White Balloon,1995
73,81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,Things to Do in Denver When You're Dead,1995
74,82,Antonia's Line,Comedy|Drama,Antonia's Line,1995
77,86,White Squall,Action|Adventure|Drama,White Squall,1996
78,87,Dunston Checks In,Children|Comedy,Dunston Checks In,1996
79,88,Black Sheep,Comedy,Black Sheep,1996
80,89,Nick of Time,Action|Thriller,Nick of Time,1995
81,92,Mary Reilly,Drama|Horror|Thriller,Mary Reilly,1996
82,93,Vampire in Brooklyn,Comedy|Horror|Romance,Vampire in Brooklyn,1995
83,94,Beautiful Girls,Comedy|Drama|Romance,Beautiful Girls,1996
84,95,Broken Arrow,Action|Adventure|Thriller,Broken Arrow,1996
88,100,City Hall,Drama|Thriller,City Hall,1996
89,101,Bottle Rocket,Adventure|Comedy|Crime|Romance,Bottle Rocket,1996
90,102,Mr. Wrong,Comedy,Mr. Wrong,1996
91,103,Unforgettable,Mystery|Sci-Fi|Thriller,Unforgettable,1996
92,104,Happy Gilmore,Comedy,Happy Gilmore,1996
93,105,The Bridges of Madison County,Drama|Romance,The Bridges of Madison County,1995
95,107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,Muppet Treasure Island,1996
97,110,Braveheart,Action|Drama|War,Braveheart,1995
98,111,Taxi Driver,Crime|Drama|Thriller,Taxi Driver,1976
99,112,Rumble in the Bronx,Action|Adventure|Comedy|Crime,Rumble in the Bronx,1995
100,113,Before and After,Drama|Mystery,Before and After,1996
101,116,Anne Frank Remembered,Documentary,Anne Frank Remembered,1995
102,117,The Young Poisoner's Handbook,Crime|Drama,The Young Poisoner's Handbook,1995
103,118,If Lucy Fell,Comedy|Romance,If Lucy Fell,1996
106,122,Boomerang,Comedy|Romance,Boomerang,1992
107,123,Chungking Express,Drama|Mystery|Romance,Chungking Express,1994
109,126,The NeverEnding Story III,Adventure|Children|Fantasy,The NeverEnding Story III,1994
111,129,Pie in the Sky,Comedy|Romance,Pie in the Sky,1996
112,132,Jade,Thriller,Jade,1995
113,135,Down Periscope,Comedy,Down Periscope,1996
114,137,Man of the Year,Documentary,Man of the Year,1995
116,141,The Birdcage,Comedy,The Birdcage,1996
117,144,The Brothers McMullen,Comedy,The Brothers McMullen,1995
118,145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,Bad Boys,1995
119,146,The Amazing Panda Adventure,Adventure|Children,The Amazing Panda Adventure,1995
120,147,The Basketball Diaries,Drama,The Basketball Diaries,1995
121,148,An Awfully Big Adventure,Drama,An Awfully Big Adventure,1995
122,149,Amateur,Crime|Drama|Thriller,Amateur,1994
123,150,Apollo 13,Adventure|Drama|IMAX,Apollo 13,1995
124,151,Rob Roy,Action|Drama|Romance|War,Rob Roy,1995
125,152,The Addiction,Drama|Horror,The Addiction,1995
